FacilityTypeMapID,FacilityID,FacilityTypeID,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,IsDeleted
153,133,103,101,2018-01-23 15:38:53.730648+05:30,101,2018-01-23 15:38:53.730648+05:30,t
132,120,103,101,2018-01-18 12:42:35.533725+05:30,101,2018-01-18 12:42:35.533725+05:30,t
135,122,103,101,2018-01-18 13:03:10.90987+05:30,101,2018-01-18 13:03:10.90987+05:30,t
295,220,101,101,2018-08-28 17:19:18.258866+05:30,101,2018-08-28 17:19:18.258866+05:30,f
297,221,102,101,2018-08-28 17:20:34.1384+05:30,101,2018-08-28 17:20:34.1384+05:30,f
298,221,103,101,2018-08-28 17:20:34.1384+05:30,101,2018-08-28 17:20:34.1384+05:30,t
299,222,103,101,2018-08-28 17:21:08.709778+05:30,101,2018-08-28 17:21:08.709778+05:30,f
300,223,101,101,2018-08-30 11:42:51.777976+05:30,101,2018-08-30 11:42:51.777976+05:30,f
338,244,102,101,2018-09-03 17:15:00.573378+05:30,101,2018-09-03 17:15:00.573378+05:30,f
339,244,103,101,2018-09-03 17:15:00.573378+05:30,101,2018-09-03 17:15:00.573378+05:30,t
279,208,103,101,2018-08-23 12:15:39.966573+05:30,101,2018-08-23 12:15:39.966573+05:30,t
302,224,101,101,2018-08-30 15:31:33.566708+05:30,101,2018-08-30 15:31:33.566708+05:30,f
301,223,103,101,2018-08-30 11:42:51.777976+05:30,101,2018-08-30 11:42:51.777976+05:30,t
303,224,103,101,2018-08-30 15:31:33.566708+05:30,101,2018-08-30 15:31:33.566708+05:30,t
306,227,102,101,2018-08-31 10:30:28.633401+05:30,101,2018-08-31 10:30:28.633401+05:30,f
307,227,103,101,2018-08-31 10:30:28.633401+05:30,101,2018-08-31 10:30:28.633401+05:30,t
308,228,102,101,2018-08-31 10:36:00.472538+05:30,101,2018-08-31 10:36:00.472538+05:30,f
309,228,103,101,2018-08-31 10:36:00.472538+05:30,101,2018-08-31 10:36:00.472538+05:30,t
310,229,103,101,2018-09-01 01:00:39.285914+05:30,101,2018-09-01 01:00:39.285914+05:30,f
312,230,103,101,2018-09-03 11:24:54.458499+05:30,101,2018-09-03 11:24:54.458499+05:30,t
330,239,103,101,2018-09-03 12:43:28.76976+05:30,101,2018-09-03 12:43:28.76976+05:30,t
311,230,101,101,2018-09-03 11:24:54.458499+05:30,101,2018-09-03 12:46:04.799378+05:30,t
334,241,103,101,2018-09-03 15:32:41.633387+05:30,101,2018-09-03 15:32:41.633387+05:30,t
341,245,103,101,2018-09-03 19:05:54.757209+05:30,101,2018-09-03 19:05:54.757209+05:30,t
340,245,101,101,2018-09-03 19:05:54.757209+05:30,101,2018-09-03 20:06:01.580271+05:30,t
333,241,101,101,2018-09-03 15:32:41.633387+05:30,101,2018-09-03 20:06:06.049239+05:30,t
342,246,101,101,2018-09-03 20:10:35.143906+05:30,101,2018-09-03 20:10:35.143906+05:30,f
343,246,103,101,2018-09-03 20:10:35.143906+05:30,101,2018-09-03 20:10:35.143906+05:30,t
336,242,103,101,2018-09-03 16:17:06.527197+05:30,101,2018-09-03 16:17:06.527197+05:30,t
344,247,101,101,2018-09-04 15:36:57.754886+05:30,101,2018-09-04 15:36:57.754886+05:30,f
345,247,103,101,2018-09-04 15:36:57.754886+05:30,101,2018-09-04 15:36:57.754886+05:30,t
347,248,103,101,2018-09-04 16:07:03.836261+05:30,101,2018-09-04 16:07:03.836261+05:30,t
352,251,102,101,2018-09-11 14:27:05.859104+05:30,101,2018-09-14 11:02:51.577581+05:30,t
355,253,102,101,2018-09-14 11:03:40.83949+05:30,101,2018-09-14 11:03:40.83949+05:30,f
332,240,103,101,2018-09-03 12:50:05.538893+05:30,101,2018-09-03 12:50:05.538893+05:30,t
349,249,103,101,2018-09-11 12:26:59.829427+05:30,101,2018-09-11 12:26:59.829427+05:30,t
351,250,103,101,2018-09-11 14:26:29.007228+05:30,101,2018-09-11 14:26:29.007228+05:30,t
